State,Year,Democratic Vote,Republican Vote
NM,2012,53.0,42.8
NM,2016,48.26,40.04
NM,2020,54.29,43.5
NV,1972,36.32,63.68
NV,1976,45.81,50.17
NV,1980,26.89,62.54
NV,1984,31.97,65.85
NV,1988,37.92,58.86
NV,1992,37.36,34.73
NV,1996,43.93,42.91
NV,2000,45.98,49.52
NV,2004,47.88,50.47
NV,2008,55.15,42.65
NV,2012,52.4,45.7
NV,2016,47.92,45.5
NV,2020,50.06,47.67
NY,1972,41.21,58.54
NY,1976,51.95,47.52
NY,1980,43.99,46.66
NY,1984,45.83,53.84
NY,1988,51.62,47.52
NY,1992,49.73,33.88
NY,1996,59.47,30.61
NY,2000,60.21,35.23
NY,2004,58.37,40.08
NY,2008,62.88,36.03
NY,2012,63.4,35.2
NY,2016,59.01,36.52
NY,2020,60.86,37.75
OH,1972,38.07,59.63
OH,1976,48.92,48.65
OH,1980,40.91,51.51
OH,1984,40.14,58.9
OH,1988,44.15,55.0
OH,1992,40.18,38.35
OH,1996,47.38,41.02
OH,2000,46.46,49.97
OH,2004,48.71,50.81
OH,2008,51.5,46.91
OH,2012,50.7,47.7
OH,2016,43.56,51.69
OH,2020,45.24,53.27
OK,1972,24.0,73.7
OK,1976,48.75,49.96
OK,1980,34.97,60.5
OK,1984,30.67,68.61
OK,1988,41.28,57.93
OK,1992,34.02,42.65
OK,1996,40.45,48.26
OK,2000,38.43,60.31
OK,2004,34.43,65.57
OK,2008,34.35,65.65
OK,2012,33.2,66.8
OK,2016,28.93,65.32
OK,2020,32.29,65.37
OR,1972,42.33,52.45
OR,1976,47.62,47.78
OR,1980,38.67,48.33
OR,1984,43.74,55.91
OR,1988,51.28,46.61
OR,1992,42.48,32.53
OR,1996,47.15,39.06
OR,2000,46.96,46.52
OR,2004,51.35,47.19
OR,2008,56.75,40.4
OR,2012,54.2,42.2
OR,2016,50.07,39.09
OR,2020,56.45,40.37
PA,1972,39.13,59.11
PA,1976,50.4,47.73
PA,1980,42.48,49.59
PA,1984,45.99,53.34
PA,1988,48.39,50.7
PA,1992,45.15,36.13
PA,1996,49.17,39.97
